TS=15064496,TJ=14625254
TS=2584158784,TJ=2583785167
TS=2862755981,TJ=2860073663
TS=52467429,TJ=52084386
TS=3165354845,TJ=3164972641
TS=40375404,TJ=39686355
TS=2574714381,TJ=2573979991
TS=3019103280,TJ=3017319703
TS=2995047194,TJ=2994654760
TS=51002620,TJ=50571110
TS=49738929,TJ=49333102
TS=2937133755,TJ=2936548460
TS=2678237488,TJ=2677882902
TS=57968011,TJ=57463746
TS=56191268,TJ=55804889
TS=2753951028,TJ=2753560883
TS=2927459945,TJ=2927041141
TS=57476668,TJ=57097718
TS=2725702047,TJ=2723279221
TS=56773184,TJ=56368229
TS=2936833349,TJ=2936411529
TS=2897952509,TJ=2897513216
TS=2960329424,TJ=2959933634
TS=56761769,TJ=55171449
TS=2915586383,TJ=2915194790
TS=53938670,TJ=52209462
TS=2836997000,TJ=2836568563
TS=2794206830,TJ=2793688211
TS=2961188410,TJ=2960775680
TS=2918233809,TJ=2917807525
TS=2968743041,TJ=2968284459
TS=3076010403,TJ=3075598788
TS=2762965505,TJ=2762586566
TS=58371386,TJ=57965434
TS=55853146,TJ=55447166
TS=2891646081,TJ=2891030279
TS=53941471,TJ=53516365
TS=57057138,TJ=56683639
TS=2743729440,TJ=2743321723
TS=56651531,TJ=56267183
TS=52686921,TJ=52293027
TS=55190450,TJ=54796233
TS=2772925816,TJ=2772517579
TS=2768248775,TJ=2767799933
TS=3013221383,TJ=3012864302
TS=2871326746,TJ=2870923281
TS=57648612,TJ=57264135
TS=2895565951,TJ=2895152656
TS=2771908861,TJ=2771503293
TS=3038499374,TJ=3038075744
TS=2959484665,TJ=2959060577
TS=2953474245,TJ=2953047698
TS=2891981768,TJ=2891567419
TS=3115332417,TJ=3114917476
TS=2657411933,TJ=2657041974
TS=53185385,TJ=52772267
TS=55069133,TJ=54656394
TS=52002965,TJ=51587137
TS=2834821955,TJ=2834341901
TS=2724808827,TJ=2724355887
TS=2825455097,TJ=2825050111
TS=3079988141,TJ=3079588619
TS=2993710002,TJ=2993262574
TS=57104949,TJ=56711237
TS=51133983,TJ=50747478
TS=2823701968,TJ=2823325588
TS=55191418,TJ=54776568
TS=2685060177,TJ=2684650813
TS=3053124190,TJ=3052718443
TS=2912279967,TJ=2911913242
TS=2633993257,TJ=2633546090
TS=3113321089,TJ=3112876971
TS=2987340565,TJ=2986683697
TS=2910411331,TJ=2910040749
TS=2962336566,TJ=2961619376
TS=3007040355,TJ=3006640717
TS=2860811427,TJ=2860420011
TS=57064983,TJ=56688981
TS=2981449852,TJ=2981009987
TS=3114497024,TJ=3114131924
TS=30593902,TJ=30218919
TS=29597084,TJ=29230364
TS=57531853,TJ=57151062
TS=58653354,TJ=58278218
TS=2601223674,TJ=2600831545
TS=2803060687,TJ=2802623322
TS=3107434410,TJ=3107021825
TS=28112833,TJ=27816432
TS=2869704269,TJ=2869331446
TS=17719580,TJ=17426692
TS=14881053,TJ=14547367
TS=2952716057,TJ=2952247593
TS=3038194927,TJ=3037619329
TS=3037615441,TJ=3037225453
TS=26935049,TJ=26535383
TS=53318749,TJ=52946154
TS=48615661,TJ=48209323
TS=2652318531,TJ=2651925826
TS=56158662,TJ=55761741
TS=2874653567,TJ=2874272183
TS=59308522,TJ=58909893
TS=2821746405,TJ=2821244088
TS=55009907,TJ=54640001
TS=2870965607,TJ=2870573598
TS=52470175,TJ=52065160
TS=2756023516,TJ=2755667943
TS=29472073,TJ=29118006
TS=2871415140,TJ=2870998262
TS=50260673,TJ=49890736
TS=2851294020,TJ=2850871165
TS=2945799815,TJ=2945300426
TS=39000889,TJ=38614158
TS=2976437715,TJ=2976010700
TS=2720724597,TJ=2720323572
TS=3148585657,TJ=3148184361
TS=2948212012,TJ=2947824479
TS=2723944983,TJ=2723473419
TS=53529903,TJ=53110342
TS=58622469,TJ=58221548
TS=57747122,TJ=57369148
TS=2833169753,TJ=2832815488
TS=2833100466,TJ=2832725637
TS=54129679,TJ=53758583
TS=2715115072,TJ=2714767567
TS=53076669,TJ=52669775
TS=2874247148,TJ=2873879839
TS=55651122,TJ=55271967
TS=55184031,TJ=54563790
TS=52299351,TJ=51917533
TS=2940847533,TJ=2940453589
TS=2794591410,TJ=2794124162
TS=2817807895,TJ=2817384552
TS=59372746,TJ=58984882
TS=2953273730,TJ=2952870423
TS=37652881,TJ=37246693
TS=37902309,TJ=37509407
TS=2660268572,TJ=2659838470
TS=56427165,TJ=56028153
TS=57809763,TJ=57426481
TS=56908434,TJ=56511294
TS=2780435741,TJ=2780062592
TS=2972590530,TJ=2972189622
TS=54243337,TJ=53851932
TS=50136894,TJ=49732446
TS=2974806798,TJ=2974374267
TS=2604630197,TJ=2604221654
TS=54450217,TJ=54043445
TS=2847417924,TJ=2847005532
TS=2895738998,TJ=2895299296
TS=2800906957,TJ=2800501259
TS=2967558663,TJ=2967148842
TS=55321186,TJ=54906765
TS=54206222,TJ=53820372
TS=2705481081,TJ=2705059844
TS=2806602439,TJ=2806101216
TS=2953835236,TJ=2953420269
TS=53514096,TJ=53123238
TS=2840689189,TJ=2840251269
TS=3091242835,TJ=3090850530
TS=2730910469,TJ=2730498873
TS=58466495,TJ=58095569
TS=2967408590,TJ=2966973009
TS=2871213004,TJ=2870816268
TS=58775204,TJ=57002630
TS=53115094,TJ=52720795
TS=2787685878,TJ=2787234720
TS=2813234699,TJ=2812832188
TS=54219114,TJ=53829245
TS=55797011,TJ=55386418
TS=2816392033,TJ=2815986855
TS=53082086,TJ=52663655
TS=2835069890,TJ=2834648628
TS=2884423393,TJ=2883777787
TS=2801030739,TJ=2800603973
TS=2635643972,TJ=2635244859
TS=2791508226,TJ=2791088986
TS=57653945,TJ=57239393
TS=3077444129,TJ=3077086046
TS=59259306,TJ=58769768
TS=2894797426,TJ=2894363829
TS=56177556,TJ=55792707
TS=2846846301,TJ=2845419705
TS=2683719274,TJ=2683321306
TS=3098782497,TJ=3098342458
TS=51452377,TJ=51053318
TS=2931620159,TJ=2931177989
TS=2968377659,TJ=2967804848
TS=2880742293,TJ=2880241245
TS=55883228,TJ=55474817
TS=54448349,TJ=54020269
TS=2645456258,TJ=2644994693
TS=56342663,TJ=55947268
TS=2747472663,TJ=2747062153
TS=56802146,TJ=56401076
TS=2748905678,TJ=2748515849
TS=2753488105,TJ=2753079087
TS=2835140150,TJ=2834740989
TS=2908374831,TJ=2907848174
TS=3092523331,TJ=3092119887
TS=2956277919,TJ=2955906283
TS=58410266,TJ=58012080
TS=57639923,TJ=57234405
TS=57097667,TJ=56695699
TS=56991210,TJ=56601767
TS=2794567324,TJ=2794150979
TS=28737169,TJ=28330578
TS=30571806,TJ=30011752
TS=54616778,TJ=54180417
TS=2669150202,TJ=2668707360
TS=51769311,TJ=51374179
TS=2757051959,TJ=2756623224
TS=55729464,TJ=55320994
TS=54442360,TJ=54043206
TS=2864085411,TJ=2863644051
TS=2863407811,TJ=2862991445
TS=2978306833,TJ=2977865758
TS=3078761374,TJ=3078335262
TS=2878587842,TJ=2878162555
TS=2866401467,TJ=2865965219
TS=2871807435,TJ=2871444390
TS=52724717,TJ=52337957
TS=3001162253,TJ=3000755584
TS=56026389,TJ=55611136
TS=54693989,TJ=54239884
TS=2792772018,TJ=2792150033
TS=2938179924,TJ=2937759624
TS=2897969551,TJ=2897549118
TS=55901847,TJ=55503836
TS=55493170,TJ=55102763
TS=2870762738,TJ=2870319059
TS=63866607,TJ=60441342
TS=2892066945,TJ=2891651350
TS=56539725,TJ=56116559
TS=2644867412,TJ=2644418400
